Person A,Person B,Connection,Source(s)
DONALD J. TRUMP,ELAINE CHAO,Nominee for Secretary of Transportation,General knowledge
DONALD J. TRUMP,ELENA GORLOVA,Gorlova bought a Trump penthouse in Florida,https://www.washingtonpost.com/politics/in-little-moscow-russians-helped-donald-trumps-brand-survive-the-recession/2016/11/04/f9dbd38e-97cf-11e6-bb29-bf2701dbe0a3_story.html
DONALD J. TRUMP,EMIN AGALAROV,"The Russian pop singer, son of billionaire real estate developer Aras Agalarov, says he befriended Trump",https://www.washingtonpost.com/politics/inside-trumps-financial-ties-to-russia-and-his-unusual-flattery-of-vladimir-putin/2016/06/17/dbdcaac8-31a6-11e6-8ff7-7b6c1998b7a0_story.html
DONALD J. TRUMP,ERIC TRUMP,Parent/child,General knowledge
DONALD J. TRUMP,FELIPE YARYURA,The Argentine real estate developer is said to be friends with the Trump family,http://www.lanacion.com.ar/1955208-la-emocion-del-socio-argentino-de-trump
DONALD J. TRUMP,GARY COHN,Director United States National Economic Council,General knowledge
DONALD J. TRUMP,IVANKA TRUMP,Parent/child,General knowledge
DONALD J. TRUMP,JAMES MATTIS,Nominee for Secretary of Defense,General knowledge
DONALD J. TRUMP,JASON D. GREENBLATT,Special Representative for International Negotiations,https://www.nytimes.com/2016/12/25/us/politics/trump-organization-business.html?_r=0
DONALD J. TRUMP,JEFF SESSIONS,Nominee for Attorney General,General knowledge
DONALD J. TRUMP,JESSICA DITTO,Deputy communications director,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
DONALD J. TRUMP,JOE HAGIN,Deputy chief of staff for operations,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
DONALD J. TRUMP,JOHN DESTEFANO,Director of presidential personnel,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
DONALD J. TRUMP,JOHN F. KELLY,Nominee for Secretary of Department of Homeland Security,General knowledge
DONALD J. TRUMP,JOHN MCENTEE,Personal aide to the President,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
DONALD J. TRUMP,KALPESH MEHTA,"""exclusive representative of Trump's businesses in India,"" per Newsweek",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
DONALD J. TRUMP,KATHLEEN TROIA MCFARLAND,Deputy National Security Advisor,General knowledge
DONALD J. TRUMP,KEITH SCHILLER,Director of Oval Office operations,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
DONALD J. TRUMP,KELLYANNE CONWAY,White House Counselor,General knowledge
DONALD J. TRUMP,LINDA BEAN,Donor,http://www.nbcnews.com/business/business-news/l-l-bean-embroiled-spat-over-donation-trump-campaign-n706236
DONALD J. TRUMP,LINDA MCMAHON,Nominee for Administrator of the Small Business Administration,General knowledge
DONALD J. TRUMP,MANGAL PRABHAT LODHA,Business partners,http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html
DONALD J. TRUMP,MARC SHORT,Director of legislative affairs,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
DONALD J. TRUMP,MARYANNE TRUMP BARRY,Siblings,General knowledge
DONALD J. TRUMP,MEHMET ALI YALCINDAG,Business partners,http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html
DONALD J. TRUMP,MELANIA TRUMP,Married,General knowledge
DONALD J. TRUMP,MICHAEL FLYNN,National Security Advisor,General knowledge
DONALD J. TRUMP,MICHAEL POMPEO,Nominee for Director of CIA,General knowledge
DONALD J. TRUMP,MICK MULVANEY,Nominee for Director of Office of Management and Budget,General knowledge
DONALD J. TRUMP,MIKE BASELICE,Pollster for Trump's presidential campaign,https://www.texastribune.org/2016/07/01/trump-campaign-turns-texas-political-talent/
DONALD J. TRUMP,NIKKI HALEY,Nominee for Ambassador to the United Nations,General knowledge
DONALD J. TRUMP,OLEG MISERVA,Miserva bought a Trump penthouse in Florida,https://www.washingtonpost.com/politics/in-little-moscow-russians-helped-donald-trumps-brand-survive-the-recession/2016/11/04/f9dbd38e-97cf-11e6-bb29-bf2701dbe0a3_story.html
DONALD J. TRUMP,OMAROSÉ ONEE MANIGAULT,Assistant to the President and Director of Communications for the Office of Public Liaison,General knowledge
DONALD J. TRUMP,PAUL MANAFORT,Former campaign manager,http://www.cnn.com/2016/08/19/politics/donald-trump-campaign-chairman-paul-manafort-resigns/
DONALD J. TRUMP,PRINCE ALWALEED BIN TALALTHE,"""the billionaire [...] aided Trump during his corporate bankruptcies in the 1990s by purchasing his yacht, which provided him with desperately needed cash,"" per Newsweek",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
DONALD J. TRUMP,RAJ SHAH,Deputy communications director,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
DONALD J. TRUMP,REBEKAH MERCER,Major donor,https://www.washingtonpost.com/politics/the-rise-of-gop-mega-donor-rebekah-mercer/2016/09/13/85ae3c32-79bf-11e6-beac-57a4a412e93a_story.html?utm_term=.b4e577d44785
DONALD J. TRUMP,RECEP TAYYIP ERDOGAN,"Erdogan, the president of Turkey and a vocal Trump supporter, met him during the ribbon-cutting of a Trump property",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
DONALD J. TRUMP,REED S. CORDISH,Assistant to the President for intragovernmental and technology initiatives,http://www.baltimoresun.com/news/maryland/politics/blog/bal-reed-cordish-to-join-trump-administration-20170105-story.html
DONALD J. TRUMP,REINCE PRIEBUS,White House Chief of Staff,General knowledge
DONALD J. TRUMP,REX TILLERSON,Nominee for Secretary of State,General knowledge
DONALD J. TRUMP,RICHARD LEFRAK,"""one of Trump's few close friends in New York real estate,"" per New York Magazine and co-head of his new infrastructure council according to the Wall Street Journal",http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html | https://www.wsj.com/articles/donald-trump-asks-richard-lefrak-steven-roth-to-monitor-infrastructure-plans-costs-1484591989
DONALD J. TRUMP,RICK DEARBORN,Deputy chief of staff for legislative and intergovernmental affairs,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
DONALD J. TRUMP,RICK PERRY,Nominee for Secretary of Energy,General knowledge
DONALD J. TRUMP,ROBERT LIGHTHIZER,Nominee for U.S. Trade Representative,General knowledge
DONALD J. TRUMP,ROBERT MERCER,Major donor,https://www.publicintegrity.org/2016/12/02/20504/what-we-knew-about-donald-trump-s-inner-circle-when-we-knew-it
DONALD J. TRUMP,"ROGER J. STONE, JR.","""Longtime adviser,"" per Politico",http://www.politico.com/story/2015/08/donald-trumps-debate-dirty-trickster-121098
